,W,L,W/L%,GB,PS/G,PA/G,SRS,year,Team
326,53,29,0.646,—,96.0,91.8,3.69,2007,Detroit Pistons
327,50,32,0.61,3.0,96.8,92.9,3.33,2007,Cleveland Cavaliers
328,49,33,0.598,4.0,98.8,93.8,4.52,2007,Chicago Bulls
329,35,47,0.427,18.0,95.6,98.0,-2.62,2007,Indiana Pacers
330,28,54,0.341,25.0,99.7,104.0,-4.43,2007,Milwaukee Bucks
331,44,38,0.537,—,94.6,95.5,-1.21,2007,Miami Heat
332,41,41,0.5,3.0,104.3,104.9,-0.8,2007,Washington Wizards
333,40,42,0.488,4.0,94.8,94.0,0.35,2007,Orlando Magic
334,33,49,0.402,11.0,96.9,100.6,-3.97,2007,Charlotte Bobcats
335,30,52,0.366,14.0,93.7,98.4,-4.86,2007,Atlanta Hawks
336,51,31,0.622,—,101.5,98.6,3.06,2007,Utah Jazz
337,45,37,0.549,6.0,105.4,103.7,1.69,2007,Denver Nuggets
338,32,50,0.39,19.0,94.1,98.4,-3.78,2007,Portland Trail Blazers
339,32,50,0.39,19.0,96.1,99.7,-3.16,2007,Minnesota Timberwolves
340,31,51,0.378,20.0,99.1,102.0,-2.45,2007,Seattle SuperSonics
341,61,21,0.744,—,110.2,102.9,7.28,2007,Phoenix Suns
342,42,40,0.512,19.0,103.3,103.4,0.24,2007,Los Angeles Lakers
343,42,40,0.512,19.0,106.5,106.9,0.0,2007,Golden State Warriors
344,40,42,0.488,21.0,95.6,96.1,-0.07,2007,Los Angeles Clippers
345,33,49,0.402,28.0,101.3,103.1,-1.35,2007,Sacramento Kings
346,67,15,0.817,—,100.0,92.8,7.28,2007,Dallas Mavericks
347,58,24,0.707,9.0,98.5,90.1,8.35,2007,San Antonio Spurs
348,52,30,0.634,15.0,97.0,92.1,5.04,2007,Houston Rockets
349,39,43,0.476,28.0,95.5,97.1,-1.19,2007,New Orleans/Oklahoma City Hornets
350,22,60,0.268,45.0,101.6,106.7,-4.44,2007,Memphis Grizzlies
351,66,16,0.805,—,100.5,90.3,9.3,2008,Boston Celtics
352,41,41,0.5,25.0,100.2,97.3,2.47,2008,Toronto Raptors
353,40,42,0.488,26.0,96.6,96.2,0.19,2008,Philadelphia 76ers
354,34,48,0.415,32.0,95.8,100.9,-5.15,2008,New Jersey Nets
355,23,59,0.28,43.0,96.9,103.5,-6.55,2008,New York Knicks
356,59,23,0.72,—,97.5,90.1,6.67,2008,Detroit Pistons
357,45,37,0.549,14.0,96.4,96.7,-0.53,2008,Cleveland Cavaliers
